,,Title,IP2 Regression,,,,
,,FPGA Release,version cc,,,,
,,Testbench (SVN tag),version_cc_original,,,,
,,Testbench (SVN tag location),svn://10.3.0.128/ip1x_fpga_vnv/tags/version_cc_original,,,,
,,Done by,Suresh Narayanan,,,,
,,Test start date,21-11-2014,,,,
,,Total Tests,194,,,,
,,Total Tests Passed,187,,,,
,,Total Tests Failed,7,,,,
,,Total Tests Not Complete,0,,,,
,,Total simulation time (approx),22:46:40,,,,
,,,,,,,
S.No.,Test Name, Test Status, Test Start Time, Test End Time, Test Run Time,Redmine/Jira ID,Bug Description
,,,,,,,
45,DBC/IP2_multiIPDBC_tgtMultipleUcast/,PASS,Mon 11/24/2014 21:58:24,Mon 11/24/2014 22:06:57,00:08:33,,
46,DBC/IP2_multiIPDBC_tgtNormal/,PASS,Mon 11/24/2014 22:06:57,Mon 11/24/2014 22:17:49,00:10:52,,
47,DBC/IP2_multiIPDBC_tgtUcastCRC/,PASS,Mon 11/24/2014 22:17:49,Mon 11/24/2014 22:28:16,00:10:27,,
48,DCM/DCM001/,PASS,Wed 11/26/2014 12:09:41,Wed 11/26/2014 12:10:03,00:00:22,,
49,DCM/DCM006/,PASS,Wed 11/26/2014 12:11:38,Wed 11/26/2014 12:12:00,00:00:22,,
50,DCM/DCM009/,PASS,Wed 11/26/2014 12:29:25,Wed 11/26/2014 12:29:51,00:00:26,,
51,DCM/DCM010/,FAIL,Wed 11/26/2014 12:34:05,Wed 11/26/2014 12:37:08,00:03:03,IPTWO-593,Providing option to come out of reset automatically once pll lock is lost due to an unstable Athena clock
52,DCM/DCM011/,PASS,Wed 11/26/2014 12:42:50,Wed 11/26/2014 12:43:09,00:00:19,,
53,DCM/DCM012/,PASS,Wed 11/26/2014 12:44:04,Wed 11/26/2014 12:44:28,00:00:24,,
54,DCM/DCM013/,PASS,Wed 11/26/2014 12:44:36,Wed 11/26/2014 12:44:57,00:00:21,,
55,DCM/DCM014/,PASS,Wed 11/26/2014 12:47:06,Wed 11/26/2014 12:47:27,00:00:21,,
56,DDR/DDR001/,PASS,Sat 11/22/2014 17:50:58,Sat 11/22/2014 18:04:10,00:13:12,,
57,DDR/DDR002/,PASS,Sat 11/22/2014 18:04:13,Sat 11/22/2014 18:05:04,00:00:51,,
58,DDR/DDR003/,PASS,Sat 11/22/2014 18:05:06,Sat 11/22/2014 18:20:09,00:15:03,,
59,GLCK/IP2_TgtOnlyBNCMult1/,PASS,Sat 11/22/2014  4:08:40,Sat 11/22/2014  4:12:19,00:03:39,,
60,GLCK/IP2_gl_24khzfreqMult2/,PASS,Sat 11/22/2014  0:37:47,Sat 11/22/2014  0:44:09,00:06:22,,
61,GLCK/IP2_gl_GlckAtHsFe3/,PASS,Sat 11/22/2014  0:30:25,Sat 11/22/2014  0:34:05,00:03:40,,
62,GLCK/IP2_gl_HSLDsyChnWithoutGlEn/,PASS,Sat 11/22/2014  0:34:05,Sat 11/22/2014  0:37:47,00:03:42,,
63,GLCK/IP2_gl_MaxDlyCntChk/,PASS,Sat 11/22/2014  0:44:09,Sat 11/22/2014  0:47:49,00:03:40,,
64,GLCK/IP2_gl_MinDlyCntChk/,PASS,Sat 11/22/2014  0:47:49,Sat 11/22/2014  0:51:27,00:03:38,,
65,GLCK/IP2_gl_MstPriorityChk/,PASS,Sat 11/22/2014  0:51:27,Sat 11/22/2014  0:55:05,00:03:38,,
66,GLCK/IP2_gl_MstrHSLOnly/,PASS,Sat 11/22/2014  0:55:06,Sat 11/22/2014  0:58:48,00:03:42,,
67,GLCK/IP2_gl_MstrInternalVsync/,PASS,Sat 11/22/2014  0:58:48,Sat 11/22/2014  1:04:18,00:05:30,,
68,GLCK/IP2_gl_MstrMaxMinFreqChk/,FAIL,12-01-2014 12:59,12-01-2014 13:08,00:08:40,IPTWO-579,Improvement to Genlock stability debug
69,GLCK/IP2_gl_MstrSrcSyncHighFreq/,PASS,Sat 11/22/2014  1:57:33,Sat 11/22/2014  2:27:34,00:30:01,,
70,GLCK/IP2_gl_MstrSrcSyncMode/,PASS,Sat 11/22/2014  1:30:54,Sat 11/22/2014  1:57:33,00:26:39,,
71,GLCK/IP2_gl_NTSC30khzfreqMult0/,PASS,Sat 11/22/2014  2:27:34,Sat 11/22/2014  2:31:18,00:03:44,,
72,GLCK/IP2_gl_NTSC30khzfreqMult1/,PASS,Sat 11/22/2014  2:31:18,Sat 11/22/2014  2:34:59,00:03:41,,
73,GLCK/IP2_gl_PAL25khzfreqMult0/,PASS,Sat 11/22/2014  2:34:59,Sat 11/22/2014  2:38:40,00:03:41,,
74,GLCK/IP2_gl_PAL25khzfreqMult1/,PASS,Sat 11/22/2014  2:38:40,Sat 11/22/2014  2:42:20,00:03:40,,
75,GLCK/IP2_gl_RNTSC29.97khzfreqMult0/,PASS,Sat 11/22/2014  2:42:20,Sat 11/22/2014  2:46:03,00:03:43,,
